*******************************************************************************
USER DATA                   {Unspecified by user}           Wed Dec-21 07:03:53
Local ID: -813552              (TLE ID = 13552)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 13552U 82092A   22354.53193463  .00010823  00000+0  30538-3 0  9992
2 13552  82.5725  81.4675 0025073 159.3253 200.9011 15.35919254 61276
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Dec 21 07:03:53 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-813552) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-20 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Dec-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221219.p230314
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-DEC-19. PREDICTS-> 2023-MAR-13
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459933.500000000, A.D. 2022-Dec-20 00:00:00.0000,  4.437352324319157E-03,  6.797364673007251E+03,  8.000499855799255E+01,  8.530278029223604E+01,  1.148076173198984E+02,  2.459933471469884E+06,  6.411852936863498E-02,  1.580523040314736E+02,  1.582413814098498E+02,  6.827661412244538E+03,  6.857958151481825E+03,  5.614601637699166E+03,
2459933.500694444, A.D. 2022-Dec-20 00:01:00.0000,  4.335627146714354E-03,  6.799110426809242E+03,  8.000510244327936E+01,  8.530154830658466E+01,  1.169978034422577E+02,  2.459933471861081E+06,  6.410365991915841E-02,  1.596952033053766E+02,  1.598667367644671E+02,  6.828717198472172E+03,  6.858323970135101E+03,  5.615903997587636E+03,
2459933.501388889, A.D. 2022-Dec-20 00:02:00.0000,  4.212374657450169E-03,  6.801084096692399E+03,  8.000527946436442E+01,  8.530037305376847E+01,  1.190530086772277E+02,  2.459933472227079E+06,  6.408765588500448E-02,  1.614740015930176E+02,  1.616266108140902E+02,  6.829854000598606E+03,  6.858623904504813E+03,  5.617306406805783E+03,
2459933.502083333, A.D. 2022-Dec-20 00:03:00.0000,  4.070501230925024E-03,  6.803246028193959E+03,  8.000552154941259E+01,  8.529926386281528E+01,  1.209282540144810E+02,  2.459933472559835E+06,  6.407079986202940E-02,  1.634337361041598E+02,  1.635660851168664E+02,  6.831051833089061E+03,  6.858857637984162E+03,  5.618784232056209E+03,
2459933.502777778, A.D. 2022-Dec-20 00:04:00.0000,  3.913430169474487E-03,  6.805551959364339E+03,  8.000581948644474E+01,  8.529822889405676E+01,  1.225737096189020E+02,  2.459933472850436E+06,  6.405338896675947E-02,  1.656242776286902E+02,  1.657350922953013E+02,  6.832289647798624E+03,  6.859027336232909E+03,  5.620311521484401E+03,
2459933.503472222, A.D. 2022-Dec-20 00:05:00.0000,  3.745113625147384E-03,  6.807953289654189E+03,  8.000616308519248E+01,  8.529727499765994E+01,  1.239343514493136E+02,  2.459933473089034E+06,  6.403572967902851E-02,  1.681006732182346E+02,  1.681887589332358E+02,  6.833545694743641E+03,  6.859138099833092E+03,  5.621861448357929E+03,
2459933.504166667, A.D. 2022-Dec-20 00:06:00.0000,  3.570046848092490E-03,  6.810397346808071E+03,  8.000654135562544E+01,  8.529640759491728E+01,  1.249504877065834E+02,  2.459933473264937E+06,  6.401813254220139E-02,  1.709226193500837E+02,  1.709868786686040E+02,  6.834797895492224E+03,  6.859198444176376E+03,  5.623406770928291E+03,
2459933.504861111, A.D. 2022-Dec-20 00:07:00.0000,  3.393275722807126E-03,  6.812827708138608E+03,  8.000694270010854E+01,  8.529563058426734E+01,  1.255598526955148E+02,  2.459933473366989E+06,  6.400090680880324E-02,  1.741523679946136E+02,  1.741918178992948E+02,  6.836024223175632E+03,  6.859220738212656E+03,  5.624920301136772E+03,
